评论区看到的[悲伤] http://t.cn/A6WJTACX
感觉再也笑不出来了
这让每天靠老友记下饭的人怎么活啊
@野马分鬃放飞自我
@过期凤水罐头
""
@十一烷- 我b溃了
天呐
刀了
救命  别太刀
哭啊
…突然想起来那集 钱德勒喜欢上泡澡，结尾一人躺在浴缸里，剩下五人在浴缸外……
第八季13集，我昨晚刚好刷到这里
呜呜呜
前段时间刚看过 http:
我要哭了
我也想起来了
有时候觉得演员和角色之间的关系很玄妙，一边期待着演员本人时时刻刻演绎着角色的人生，一边又很想窥视演员自己的生活，他的确塑造了无法替代的钱德勒，如果真的有另一个世界希望他逍遥自在。
图片评论 http:
真的很戏剧了，想到了mr.heckles去世那一集的chan
@Stoneeoa …….
you know what？we will meet at the checkout counter
"R.I.P    ""I'm Chandler, I make  jokes  When I'm uncomfortable."" ​"
破防了浩源老师我们只是网友你过界了
提前下场了，然后总会再遇到的
👍是的呢
我们总会在人生的收银台相见…菲神的话永远那么在理
想到了河边的错误开头的字幕，也许生命的整个过程，细细想来，就是荒诞的
可是配图为啥要配……懂了，椅子空了
假作真时真亦假 无为有处有还无
现实比影视作品更加戏剧，也因而愈加荒诞。钱的陪伴是我低谷里成长的一部分，感谢致敬RIP
更像是观众被困在chan这一角色里，Mathew一生的苦痛映射在了chan身上，而chan被喜剧表达。 总觉得当他留下那本自传的时候，可能已经准备跟大家告别了。 人生就是比戏剧更戏剧，恭喜你进入next level，Matt！ 我们会在人生的收银台见。
老友记不知道翻看多少遍，看久了就像认识了很久很久突然真实消失
是
真的很喜欢钱钱
最爱的chandler
老友记最喜欢的就是钱德勒
他并不是困在角色里。主要是身体和精神状态吧。
d
别刀
首评
别刀我
人从出生，就开始认识世界，认识世界的过程，就是逐步找到自己的过程。 当荒诞，苦难，背叛……出现在我们面前时，我们能做的，只能是接受、直面、和解，待凤凰涅槃时，便又更进一步。 Be here now，脑子里《空》的bgm又蹦出来
不如还是鲨了我吧马修
发生什么了
没想到这么早就要真正说再见了
戏如人生 人生如戏
希望他永远像钱德勒一样开心
我说你怎么发钱德勒呢
破防了
我也保存了这张沙发图
但是真的会很难过
真的好喜欢钱德勒啊……
可是真的好年轻
最好的钱
这张图好刀
我最喜欢的小钱钱啊
chanchanman
我刚好看到这集，小乔搬家
太刀了太刀了
配图
RIP 🕯
这张图真的会哭死的
看到这图没绷住
真的吗他困在角色 我没怎么关注他们戏外的生活
人的一生也是戏剧性
哎😑
这个图
人生亦如此
破防了马修塑造钱德勒这个角色很成功 但他却没有走出来 如果马修能像钱德勒一样幸运就好了
看到这张图片真的泪目了
刚刚
别这样解读（太刀），真的要哭了
@馡菲菲菲
啊别刀
@在屋顶吹风的猫猫
天哪看到有人发这个好刀 http:
@吃掉小太阳呀
时空是个圆圈 我们终会再见 下一次见面你不是Chandler也不是Matthew 但你一定要是幸福快乐的
可以
他是不是抑郁了
有些止痛药是作用在中枢神经的，比如吗啡，现在这种具有成瘾性的止痛药管制非常严格。像布洛芬这样的抑制前列腺素释放的就没有成瘾性。
回复 @吃炸鸡翅吗:为什么止痛片会上瘾
他自从止痛药上瘾后，人生就开始一片阴郁了感觉
