比起律所的offer 带货更令人心动
我去我去
@猪咪炖山芋
别太离谱
所以窒息和心动显而易见
律所的offer，一点都不令人心动
以偏概全还是你玩的六，正常大学毕业生转行的也比比皆是，也要一个个讨伐吗
是吗，我只看到vlog里插个广告，并没有开直播，再说副业你不懂吗，既然能做喜欢的职业还能有赚钱的副业为啥不做呢
笑得 不是好几个女的都开始当互联网网红直播卖货吗
小何，浩源，冰莹，蔡坤廷都在全职当律师，李晨前段时间也在锦天城（现在未知）郭旭在澳洲读书这还不好吗 再说全职有副业也叫全职，全职加副业做自媒体也是全职做律师
一季下来8个人就剩2个还在全职做律师，哪个学校的法学生能创造这个比例啊
""
所以王骁真的很难得，坚持他的初心，面试时说的话也不只是说说而已，现在在他喜欢的国际法领域奋斗着
真的很棒啊
真酸啊
唐突啦
那你做微博大V干什么的🤗 我真奇了怪了
做律师呀
滚
踩着你都尾巴了，在这叫
嘿！你也在关注“令人心动的offer”吗？快戳http:
第一季第二季的好几个都是转型网红路线法律对当代年轻人哪有什么吸引力！律师多累呀！
胡说八道，人家才在微博回复，还在当律师
真的吗？她不是回成都做律师吗
真的救命
她没有去芒果 那些节目好像都不怎么要女生 她就是网红主播 带货
啊？！我还以为俩offer就男的去芒果造星了……这么邓也去了
邓冰莹全职主播
哪里好几个呀，只有郭旭他俩吧，只有郭旭一开始看着就不是想做律师的样子
有的，如果说你所在的团队厉害再有一个好案子，当然能力+机遇缺一不可
真的有吗……
嗯……
只要你努力始终是有机会的啊
你都说了最快的
升par的起码也35➕了，超累
我知道的最快晋升合伙人的也才六年多
哪个行业最top的人不是高薪啊…能熬出头的有几个？
合伙人的高薪不是说说而已，只是很累罢了
节目结束后：还是当网红适合我
你又懂了？你了解人家现在在干什么工作吗？而且人家带货赚钱又不当误自己做律师，她日后选择什么职业又关你啥事，你在这嘲讽什么，她只是个普通人，又不是明星，没必要接受大众的指指点点
学生从头做自媒体肯定和她们这些上过节目的不一样，普通人可能得付出超多的时间还不一定火，但这种自带流量自带粉丝的，随便拍拍介绍介绍就一堆人买账，，，
顺便录v log 和网红直播带货模式不大一样，一个是自己发自己的的分享，直播带货模式要做数据 做流量，我本科室友转做网红带服装，她做数据做调研挺辛苦的 光全职她就要忙疯了，她带团队创业全职做数据搞直播 话说她们好像研三来着 也快毕业从事工作了吧  总之法律工作，真的很烦很烦
其实当主播的那些其实没有正式入职的吧，都是还在上学然后利用业余时间顺便录个vlog的
不是说为法治奋斗终身？带货赚大钱行啊，就不必要再说为法治奋斗终身吧 法治的道路很漫长很难熬，是真他妈累
那只能说句6 ，我和我同门们都叫苦不迭，那他们能做好工作和副业真6
人家有空周转这些时间，代表她足够厉害
他带货是他的自由，如果你能带货，你有这个机会，你难道不想去好好把握住吗，谁嫌钱多呀这个时代
真的要做好非诉或者诉讼，真的有那么多时间带货赚钱吗？加班出差是常态…… 律师营销的更多是自己的能力，让当事人更相信自己。既然口口声声说为法治奋斗，又何必去带货
本来不就奔着这个上的节目
所以我真的很爱浩源小何和王骁，为自己所热爱的事业不止息地奋斗着，也激励着我
是的 我知道
但小何的本质工作还是律师，综艺拍摄只在休息时间
小何现在也活跃在综艺（当然，我也很喜欢他）
毕竟带货更赚钱。。。
网红律师也是律师…谁说律师副业不能是网红啊
啊对对对。你说的什么都对，行了吧我们这种普通从业人员就是能力低下，导致周末没空，还要经常出差。满意了吧 全世界的认知就你最对！
为什么不可以 人家能力摆在那里有什么做不好的，小何工作日上班 周末录节目 你为什么会觉得全世界都要符合你的认知才可以
分享一下还是可以的，分享生活过多，真的能做好律师本职工作吗？尤其做非诉，经常加班。
这季有两个之前就是主播和参加过恋综的 参加之前就不是为了offer
我说不是为了offer 也没说为了带货呀
可是参加完恋综的那个 恋综很火的时候都没有开始带货
“导师”们要抓紧时间出书了
说什么大实话：令人心动的网红offer
有钱不赚傻子啊
而且这节目真的不是相亲节目吗？怎么每季都有俩人在一起啊
我也不确定，但博主说的应该是这一对，很多在说，但没官宣
什么？他们在一起了？
刘煜成和王颖飞？
第二季是谁啊？
他在生命的每个阶段，都说了他相信的东西.jpg
上节目就是为了红，然后带货啊
最后都做网红带货，来钱多快多轻松，可以看看一二季
第二季刘煜成 王颖飞 朱一暄 王骁 詹秋怡 李敬业 瞿泽林都还在做律师，虽然有的不在君合了，我觉得打广告无可厚非毕竟有这个条件能恰饭就恰饭
好好卖货卖一两年，说不定就能买下律所！
你劝你别太真实，还有综艺我没有点名啊
笑死我了哈哈哈哈哈哈哈哈哈哈哈
😂
哈哈哈哈哈哈哈哈哈你这个吐槽
都是打造人设罢了  上完节目后都趁着流量转性了
直播赚钱太容易
你这个观点就偏颇了
