求科普
就用在破解密码上。。。
是在某个特定问题上了，并不是算啥都这么快
真有这么快嘛，亲
比超级计算机快一亿亿倍
能挖矿不
美国冻结比特币资产时不就已经完蛋了吗
你用这玩意挖矿？
遥遥领先，又赢麻了。
傻犬🐩一只
不会说人话吗？
膝盖天天跪不疼吗
小青蛙，呱呱呱，来，跟我读：台湾是中华人民共和国不可分割的一部分！
对呀，不服？憋着
你膝盖跪着不麻吗？
话术该换啦，要不该被断狗粮啦
IP正确
蛙蛙
这ip不奇怪
🐸🐸🐸🐸🐸🐸哈哈哈
嘬嘬嘬
小台蛙的玻璃心碎了
反思反思，狠狠反思
上海人吧意外！占用那么多教育和科研资源，除了往西方输送人才，就没啥大成就
感觉有点阴阳怪气，但一看在上海，就不奇怪了
量子计算机能并行本来就比传统计算机快N个量级，这属于正常水平，人家一直知道咱在搞量子计算，人家自己也搞，水平都差不多，哪来什么扔氢弹。没事多读点书，别不懂瞎扯。
就像电磁炮，大家都在搞。咱国家在埋头科研，美国人在埋头偷
我研究超星系航行也有阶段性发展！
是啊，电磁炮，我们搞，他们也搞。我们上舰试验了，他们地上的原型机都几乎要荒废了。不过他们应该也快跟上了，有慕洋狗出卖国家贱卖技术了。第4代（按照西方标准可能是第5代）核电---钍基熔盐堆，他们搞，我们也搞。他们停工几十年了，我们试验堆/工程验证堆都毕业了，商业堆都快来了。
另外说一句，这条消息是供中国人民为国家成就而喜乐的事，没人会想着做对比，因为我们会为了自己家的地盘发生喜事儿而在中华大地上喜庆。外人好不好也和我们没关系，毕竟资本主义的尿性，做出来了也是个人主义优先，更不会想着优先普及国民，这就是为什么你的评论带颜色，别人再好也不是自己的。
你都说了是阶段信的，什么叫阶段性？也就是没有一个结果，还在弄，懂吗？研究是分阶段，但是每个阶段只有成就性结果才能公布，这才是对人类有帮助的成果。所以说官方都没发布成果就只会说阶段性，就像当年特高压、5G哪个像中国一样实现了，最后大量的运用？还信你，搞得谁不会看一样。
谷歌 微软 IBM 都有自己的量子计算机，并对外公布阶段性进展，与中国并无二致，NV不晓得有没有自己的量子计算机，但是有公开的量子计算库，我跟你说这些你也不懂，但是说张话，你信我就对了。
高超音速导弹我不懂，计算机我是真的懂，而你，是都不懂
它不说就不是了？拿楼里举的例子，就跟高超音速导弹一样，大家都在搞那么是谁还没有呢
新华社说扔科技核弹了？
哈哈哈哈哈
你发出来我就信
不懂装懂很难看
就好像高超音速导弹一样，大家都在搞
新华社还没你懂？你把国外的拿来科普下啊？
550A就快来了
你好，Moss
科幻变成现实了
某种意思上科幻依赖于现实，现实依托于科幻相互推动的，一个根据现有提出设想，一个很设想大胆想象，一个根据想象进行实现不然为啥有那句话呢:你们尽管想象，我们负责实现
这个是对特定计算项目而言的，通用计算还是不行。
第一台计算机也不是通用的，是为了计算弹道的
不用着急，火车刚开始跑的时候还跑不过马呢。
过于先进，看不太懂
""
保护好人
最好把我们科技人员名字隐去，保护。
国家需时刻警惕像上海交大陈进那样的科技巨骗。评审和鉴定的专家建立追责制度
尊重国家命运 放下纳言情节
主要是弄不不明白
550系列快了不
祝贺！
550A还是550C?
厉害
中华崛起
保护好我们的科学家
虽然很好，但是太高端了没有现实感，相当于什么啊
感觉最近喜事，突破有点多。又是芯片，又是计算机，还有NB。
都255个光子了，8位机完成，但速率是光速。而且量子比特还不止是二进制
3号？
离星际旅行又近了一步。
落后就会挨打，为科技战线工作人员点赞，希望祖国繁荣富强
人工智能可以普及了
这个东西的实用价值是啥
保护好我方潘教授
小苔藓 你爷爷要来了
哈哈哈
是来自太阳系亲戚的援助吗？速度也太快了
你这个不行，打火机弹片才是工业皇冠上的明珠
用这个来训练AI 大模型是不是很快
吹牛逼忽悠外行，笑死人
希望能在有生之年看到国产量子计算机进军消费笔记本市场，好让我在朋友面前炫耀一下
重点是255？
骗拨款的吧
挖比特币么
比最快的超算快一亿亿倍究竟有几个0都开始数不清了（
不明觉厉，不懂就问，一天能算几个比特币？
Moss 原型机
要保护好这些科学家，真的是无价之宝
求科普，我們廣東人打麻將，九章是差不多叫糊了， 是這個意思嗎？
《九章算术》，早在西汉以前的算数古籍，华夏一族古代算数领域著名书籍
量子霸权（美国人说的）我们遥遥领先！
离火九运来了，中国科技力量一定会大放异彩遥遥领先！这是国运，谁也无法阻止中国科技力量雄起！
宣传的同时，也应该要藏拙！
牛的
