无知，遗产继承不分国界。
看把你急的，半毛也没你的份
你真是个法盲，知道什么是遗嘱吗？什么是遗嘱继承吗？
哈哈哈，好好笑，大家都知道你无知了
老人的财产自己说了算，老人愿意给孝顺的孩子，不孝子就是不给
是啊，立遗嘱遗产给俩女儿不给儿子，是自由处分权，和国籍无关
法盲！
嘴急了，去操墙，吃饱了找抽
你先搞清楚法定继承和意定继承再说吧
老人愿意给谁就给谁，你才是无知
无知
无什么知呀？搞清楚了，那是人家自己的权利，爱怎么分怎么分
着急的是你吧，都快咬人了。人家说的那个不对？就是以遗嘱为先。自己不孝顺父母，不给你很正常。网上着急也没用
人家老人喜欢，遗嘱怎样立都无毛病，这里老人的本意就是儿子也不管他们，所以怎么叫无知了呀
打你脸了 你破防了
你脑子不好使
你没有最基础的理解能力就算了，这老人就是在公证立遗嘱，难道你连最基础的法律常识也不具备？很多智商有缺陷的人也知道基本的法律和道德观念呢
看把你急的，怎么分，都没你的份。
以遗嘱为先！
大部份财产儿子移民时移走了.
很有可能
你才多读点书吧，不立遗嘱到时儿子又回来抢呢。
当初移民的时候，估计赞助了不少。该女儿拿了
那还立遗嘱干啥？多读点书
其实说白了就是儿子不可能回来尽孝
真的是这个原因吗？
窃以为是关心恶化，但绝不会是因为“他不是中国人”。
细说
肯定有人会相信。至于真实原因，猜是遗产税吧。
应该立法遗产不能直接由外籍人士继承
没有尽孝根本没资格继承遗产
到时儿子一样回来打官司，遗嘱只要有一点点不合规，就会给法官推反
垃圾。无知
应该的，非我族类其心必异
关键是：他也不管我们……并不是因为他是外国人，你们能不能抓到重点啊……
忽悠  接着忽悠
有没有可能儿子继承会有大笔的遗产税要交。
有理有据！
子奔他乡
留给女儿好
此记者三观不正
你才是三观不正吧
俄打乌他提问了吗
人家问你哪里不正？你倒是回答一下呀，大肘子？
很好奇，你的价值观是掉到茅坑里了吗？
二鬼子
心比天高命比纸薄的loser。
殖畜被饲养得真是忠诚
你的三观才是不正
记住六个字，犹太复国主义，那是跟日本军国主义一样的万恶之物
你说中国记着三观不正，那需要符合美国人的三观吗？ http:
那你倒是说说什么是正？
很赞赏这个记者，看过好几次他的采访，每次的提问都一针见血，
无耻的NO！@联合国 ！
大概就是中国的态度
需要发出正义的声音
从联合国拉偏架开始就注定了巴勒斯坦的结局，。。。以色列一直以来蚕食鲸吞，他们都装看不见
联合国能管啥呀？
冲突起源就是，以前联合国把巴一半以上的土地划分给了以。
联合国里的官僚主义也是很严重的
世界需要和平���
长的有点像司马南先生
提线木偶
中国态度 世界需要和平
有道理
这相当于问狗还吃不吃屎
中国不是联合国五常么，居心不良
这不就是西媒记者问问题的方式吗，以其人之道，还治其人之身。
No？你当然会说No！
摆设
又是这个毒舌
为你点赞。
1
自以为是的样子
世界不需要搅屎棍
装聪明
形象太差
点赞这个记者
联合国不过是旧有秩序下的傀儡组织
这人缺乏些常识和客观。 这次是哈马斯恐怖分子挑事儿   是以哈冲突。巴勒斯坦大多数人也是保持和平和希望和平的，包括巴勒斯坦被国际承认的法塔赫政权。
#联合国宣布调查巴以冲突中的战争罪行#这样的联合国，能否公正的调查取证战争罪行？
就应该这样问，早几十年就应该这样了！！！
德智在美国要小心人身安全，防止被意外
联合国安理会最无能，改组它
有良知的记者
中国记者牛逼
这里有媒体？ 别开玩笑了，能让你发和看到的，都是批准过的
问的好
狗屎双标
白皮从来不认为自己双标
对的
这人的风格很像芮成钢
装糊涂就是了，其他的闭口不谈，就回答一个不字，这和数学应用题不会，但我写了一个解有啥区别
这人在他合适的位置！good
不错
