假新闻就不要信谣传谣了
回复@广陵散觉:[允悲]所以这几天出现的航母是怎么回事？不是说都在维修吗？这又不是修汽车几天就好了
回复@广陵散觉:拭目以待就行了
回复@广陵散觉:我觉得跟强不强项也没啥太大关系吧
回复@大眠60517:建议了解一下金灿荣的研究方向，国际关系是主攻方向，军事不是其强项。
回复@广陵散觉:也是战忽局的呗？
回复@广陵散觉:你好，我不是资深爱好者，我最近关注了在b站金灿荣教授。我不了解美弟的维修能力，但是金灿荣教授说过中国的造船业应该是也包括军工的造船业，已经超越美弟了，美弟的造船业已经很拉胯了。
回复@广陵散觉:哈哈哈哈哈
回复@大眠60517:如果你是资深的时政爱好者，就应该知道洪老师是同王云飞，曹卫东，宋忠平等专业人士同台的学者
回复@洪源:洪老师一位知名专业人士怎么还跟这些没有成相关知识体系的业余人士较真呢[允悲]
回复@中科大略观天下:我不认为部分人的观点这个是论据，我表达的是因为这大部分人的观点，再去查阅资料发现美国可用的大型船坞就4个，结合10艘航母同时维修这个事逻辑上就说不通，所以认为是假新闻，大部分有一定了解的人也认为是假新闻，媒体工作者不应该为了博眼球把标题或者报道的内容故意夸大或者过分修饰和渲染
回复@红牛奶牛公牛:我对军事没太多兴趣，你要是直接用摆最后的数字来讨论问题，倒正常些了，当然我不知道数字对不对。包括这段话前面部分也是典型的没逻辑，大部分人的观点 这是什么逻辑论据。自己检查吧[哈哈]
回复@中科大略观天下:首先不是我个人猜测，这事大部分人的观点，其次这些观点也有剧可依，最后才是我认为这种说法是对的。我觉得你得逻辑也好不到哪里去，  她可以说10艘航母待维护，10肉航母同时船坞维修开玩笑呢，美国本土就只有3和船坞能维护，海外1个在日本。
回复@红牛奶牛公牛:你这逻辑能力太弱了，有几个国家有10艘航母，用一个自己的猜测来带出结论，太绝了[允悲]
回复@洪源:好奇 你这v是怎么来的？
确实假新闻，哪个国家能一次性维修10艘航母？
你有没有采访能力
从鸦片战争到芯片战争，中华民族从苦难到辉煌的历史进程。
回复@洪源:4S店够吗？[嘻嘻]
嗯，还要继续折腾！[坏笑][作揖]
扯淡吧，准备战争不应该是再建造航母吗？
回复@少年安能长少年-我啊:对对对，你不懂装懂很好。
回复@岛外打渔人:你真是个军盲，无知还不自知，还在这瞎比比
回复@少年安能长少年-我啊:你当美帝是你呀？
你当造航母是一天两年啊！从建到形成战斗力得七八年最少。再说人家福特级第二，三，四都在准备建造了
回复@江月风雾:沙雕你好
建你老木，福特级建了多少年了？还带病服役。你实际点好吗？
回复@万象更新不着相:笑死 美国修好航母 修吧 别修着修着 着火了 炸了啥的就行[笑cry][笑cry][笑cry]
回复@jun6329580326:给你一图，最符合你 http://t.cn/A6OsoI7V
现存武力值也是世界第一！无人能及！
