中国需要背后出手了！这是立威之时！
[吃瓜]中国如果出手，那应该是解决台湾。只要动台湾，就能吸引老美大部分兵力。
回复@土星归来无所依:教员这句真是绝了[思考]
回复@LESSERAFIM5:已经是第四次世界大战了。
你着啥急？
可惜不敢呀
怎么已得伊朗出面，我们背后提供高端军事武器。反正现在武器方面吊打它美儿子
我们一向后发制人，美帝不下场，我们是不会下场，而且下场你我也不知道在哪下场，不在敌人选定的时间打，不在敌人选定的战场打，你打你的，我打我的，这是祖传的致胜法宝
回复@天之涯YY:就准备解决台湾了
美帝先下场[doge]
回复@孫贺琦:阿拉伯世界团不团结并不重要，重要的是美国亲自下场。阿富汗这么弱，不也拖了老美这么些年[doge]
回复@谢聿诺:阿拉伯世界没那么团结，光沙特和埃及就进退两难
6，要挑起第三次世界大战是吧？[吃瓜]
立毛线，先解决台湾吧
你怎么知道还没出手？
别！我们期待美国出手，和整个阿拉伯世界为敌[doge]
巴勒斯坦大使馆怎么还不开捐款账号
巴勒斯坦连微博账号都没有[二哈]
巴勒斯坦那么多富亲戚，他缺的是钱吗？缺的是物资，有钱也运不进去
回复@爱豆晶晶:还得加上也门胡赛武装
希望黎巴嫩真主党把以色列干趴下
巴勒斯坦没有运输途径，现在地道运输都总是被炸[微笑]这就是以色列干的事情
巴勒斯坦又不是缅北～
巴勒斯坦物资都进不去，要钱有何用T_T
等美国沦落了就再也不会有以色列了，天在看，人在做，会有轮回的[怒]
以色列真是天怒人怨。[怒][怒][怒]
会有报应的
这个国家在地球版图上不会存在太久的，要被天收的
这是给中国上眼药么？
给他一点小小的中国震撼
该给叙利亚一点东西反击了 [doge]
以色列：打不到哈马斯，我还打不了你这个叙利亚么？！
还到处“卖惨”！
疯狗一样的以色列
打得一拳开，免得百拳来！支持叙利亚人民英勇的反击
有恃无恐吧，之前都打过那么多次了，也不在乎多几次
叙利亚没有放空？
中东国家有几个有防空的，除了伊朗自研自产，其他的大多都是美械。
叙利亚现在就剩下废墟了
大家评评理，这个发言有问题吗？长安乔木是在心虚什么？？ http://t.cn/A6WA4DJu
拉黑推荐名单
村里的恶霸
支持伊朗早日搞出核弹
叙利亚？我特么干啥了？[挖鼻]
叙利亚对以色列宣战么
那谁让炸的！谁让你去那谁家了！我就这么狂？世界上再没有什么特了
@以色列驻华使馆 恐怖分子轰炸叙利亚
叙利亚缺少红旗
中东国家真的需要团结啊[拳头]
为什么可以轰炸别国机场？这不是宣战吗？
叙利亚咋不还击
@以色列驻华使馆
中东一盘散沙！照这么下去巴勒斯坦恐怕会从地图上消失！
不扎俄军空军基地能有啥作用？！[doge][doge]
那叙利亚就这么让炸了？炸过一次了是不是
王骁还说阿拉伯世界作壁上观，我倒要看看，阿拉伯世界能淡定到何时
这是在打击后勤保障
欲灭亡，必疯狂
到处惹事
还好唐朝把这些突厥打跑了
炸叙利亚大马革士机场原因是什么？想知道
制裁以色列
以色列先疯然后丑国疯
这是准备与全部周围国家开战了？[doge]
是不是怕叙利亚运物资给巴勒斯坦？
四处挑起战争 还不是战犯？
灭亡之前最后的疯狂？
有美国儿子在后面撑腰，犹太爸爸什么事都敢干！
阿萨得反击呀！
丧心病狂！
这个是嫌你大爷不够多么？？
犹大是想阻止伊朗外长防叙利亚
