主驾开飞机。副驾开另外一架无人机，还可以这样
主驾开飞机，副驾打游戏[doge][doge][doge]
忠诚僚机，这个还是帝国先提出来的PPT概念，结果老中已经在慢慢实现中了
也可以说：主驾开飞机，副驾开可视化导弹库。[喵喵]
忠诚僚机
有一说一，F-35是洛马的产品，跟波音没啥关系，麦道就更没关系了；而歼20的双座版还在试飞，无人战斗机更是只闻楼梯响…[doge]
关键是歼20还在持续改进，而肥电能改成双座还是超音速巡航？也就五年后，碾压就会出现，而肥电还要继续肥胖40年，想想都开心
外国网友也是个外行，F-35虽然和歼20比有些劣势，但也不至于这么不堪入目
网友们有时鸡血上头说的话不必当真。
不是还有F22么[doge]
这美国军盲可能分不太清F-35、F-15和F-22，也分不清收购和被收购的关系。
[doge]... http://t.cn/A6WX3AIe
早停产了。
美帝也建了战忽局啦？[笑cry]
美战忽局在认真工作[喵喵]
骡马：“波音公司的所有者麦道公司今年生产了 17 架 F-35”？？？[挖鼻][挖鼻][挖鼻]
波音军工产能也用来生产f35
就不懂为啥总是拿F35和J20做对比，一个单发一个双发，个头大小都有差距，拿F22做对比是嫌弃F22太老了吗[笑cry]
还真是F22太老了，现役的F22在航电雷达方面已经跟J20有代差了。现在这方面没有代差且具备隐身能力的就剩F35了[摊手]
F22太老，雷达和电子设备升级能力有限，很难加入整个体系的网络作战，现在已经开始淘汰了。以后中美真开打只能F35做主力，帝国确实拉胯了。
F22已经处于退役边缘了
坚决不听美帝的忽悠！
叮~！您使用 “兵器影像” 发布的微博，已被超话君收录到您的专属超话 #兵器影像[超话]# 中了凹~想知道粉丝们都在超话里聊些什么嘛~快来宠粉翻牌吧！直达现场>>  #兵器影像[超话]# 
和特斯拉一样 拿中国生产就价格就下来了
最后一行：“主力战斗机”被翻译成“前排战士”。
航程只有1/4，怎么可能啊[笑cry]
回复@牛-石油:没毛呲，四舍五入一下还真是四分之一[允悲]
2200:6000。
波音的所有者麦道？[允悲]
波音公司的所有者麦道公司？什么乱七八糟的翻译[挖鼻]
米国也有中吹[太开心]
谁说的 我都想给他灭口了[怒][怒]
总是拿F35和歼20比是否不合适[吃瓜]就像拿歼10和歼11比一样
F35本来就是用隐身机作为卖点捞钱的东西，发展到这地步也很符合F35作为商品的定位啊，有问题吗？[费解]
这小编是个美国獭吧[怒]
f35不是臭鼬工厂的吗
对啊！
这是在嘲讽洛·马，还是在嘲讽对待麦道F-15要慎之又慎的波音？[二哈]
果然WS15出来之后红脖子破防了[允悲]
美国反思怪罢了
[笑而不语]这篇要是发NGA会有二次元ID的软体动物跳出来反驳
去工业化的弊端越来越明显
超级强鳖
F35是因为美帝想用一个机型一条生产链就想赚全世界的钱的失败产品。[挖鼻]
建议落马到中国设厂生产F35[二哈]
美国的社交软件是不是不用实名认证？这么敢说！[doge]
[doge]波音的工人：我们在工资涨一倍之前看不懂洛马的图纸，[二哈]
麦道和波音谁是谁的谁啊
美国也有反思怪？
F-35不是洛马的嘛，与波音何干？
感觉挺合理呀，按购买力来算美元只有人民币的三倍左右，对比成本应该按实际购买力算嘛。。
