无知，遗产继承不分国界。
回复@孤岛独狭:看把你急的，半毛也没你的份
你真是个法盲，知道什么是遗嘱吗？什么是遗嘱继承吗？
哈哈哈，好好笑，大家都知道你无知了
回复@章嘉拉康:老人的财产自己说了算，老人愿意给孝顺的孩子，不孝子就是不给
是啊，立遗嘱遗产给俩女儿不给儿子，是自由处分权，和国籍无关
法盲！
回复@无非几个春秋:嘴急了，去操墙，吃饱了找抽
你先搞清楚法定继承和意定继承再说吧[拜拜]
老人愿意给谁就给谁，你才是无知
无知[偷笑]
无什么知呀？搞清楚了，那是人家自己的权利，爱怎么分怎么分
回复@章嘉拉康:着急的是你吧，都快咬人了[挖鼻]。人家说的那个不对？就是以遗嘱为先。自己不孝顺父母，不给你很正常。网上着急也没用
人家老人喜欢，遗嘱怎样立都无毛病，这里老人的本意就是儿子也不管他们，所以怎么叫无知了呀
回复@章嘉拉康:打你脸了 你破防了[允悲]
回复@不刀不舒服斯基:你脑子不好使
你没有最基础的理解能力就算了，这老人就是在公证立遗嘱，难道你连最基础的法律常识也不具备？很多智商有缺陷的人也知道基本的法律和道德观念呢
回复@Steam_Chow:看把你急的，怎么分，都没你的份。
以遗嘱为先！
大部份财产儿子移民时移走了.
很有可能
回复@宝庆大都督:你才多读点书吧，不立遗嘱到时儿子又回来抢呢。
当初移民的时候，估计赞助了不少。该女儿拿了
那还立遗嘱干啥？多读点书
其实说白了就是儿子不可能回来尽孝
真的是这个原因吗？
回复@萧萧穆萧萧:窃以为是关心恶化，但绝不会是因为“他不是中国人”。
细说
肯定有人会相信。至于真实原因，猜是遗产税吧。
应该立法遗产不能直接由外籍人士继承
没有尽孝根本没资格继承遗产
到时儿子一样回来打官司，遗嘱只要有一点点不合规，就会给法官推反
垃圾。无知
[允悲][允悲]
应该的，非我族类其心必异
关键是：他也不管我们……并不是因为他是外国人，你们能不能抓到重点啊……
[doge]
忽悠  接着忽悠
有没有可能儿子继承会有大笔的遗产税要交。[二哈]
有理有据！
子奔他乡
留给女儿好
