日本侵华的时候应该有无数个类似的场面。。。
悲痛欲绝，只能血债血偿。
草芥人命啊没有天理了[伤心]
无差别攻击＝大屠杀
更多的哈马斯即将诞生，以色列即使拿下加沙也没好日子过，恶有恶报
以色列知道如果不把巴勒斯坦人杀光.就算杀死了所有哈马斯.一会一定还会后哈牛斯哈羊斯.所以才敢冒天下之大不为搞种族灭绝.真就初生行为
所以我再看到以色列被恐怖袭击我一点都不同情，他能应得的。
回复@回忆小佳佳的黑白键:正好有了以色列前车之鉴，到时候狠狠的干蛙蛙
这个仇恨恐怕几百年都消不掉，世代的仇恨
所以以色列从来都是要地不要人
所以以色列要地不要人
什么时候能制止这种法西斯行为[怒]
那么多穆斯林不知道团结反抗吗 巴勒斯坦被灭了下一步就是其他穆斯林国家吧。唇亡齿寒不懂吗
回复@原子精细结构:你有什么毛病吗？
回复@原子精细结构:我为什么要帮 我又不是穆斯林
你去帮清蒸绿毛猪们报仇不就行了吗  光在这叫[哈哈]
一个内部不团结，一个有儿子无限量军事援助，拿什么打，领土越来越小，东郭先生与狼的故事[允悲]
巴以冲突又不是第一次，除了第一次差点成功，之后就是实力差距越来越大了。
穆斯林国家都不团结的 否则也没以色列
加沙全民皆兵吧，为家园而战！
不得不说以比乌na还残忍
关键是，以色列空袭学校和医院[泪][泪][泪]
双方这种报复永远不会停了
人间炼狱[苦涩]
冲突造成流血伤亡，伤亡滋生仇恨，仇恨将使冲突无休止持续，冤冤相报何时了！#琼州老兵# //@阿新5781:悲痛欲绝，只能血债血偿。
日军侵华时候的我们也是这样的[泪][泪][泪][泪]
[蜡烛][蜡烛]
转发微博
杀红眼了，这是不想停战的意思！！！
那是地上是胳膊吗？
看到了日本侵华时的情景了，可能更残忍。真的一切入侵别人国家的都被天收吧
美以为刀俎、巴为鱼肉，民主文明的外表下制造多少炼狱了，
这样的仇恨应该就是无限循环的，他们的战争不会停了。
唉🙏🙏🙏
惨绝人寰
太痛苦和心痛了
以色列不懂得有因必有果么？你上别人家的地住，还要灭人家的种[可爱]
[泪][泪][泪]
万恶的以色列
拿起武器战斗吧
@以色列驻华使馆 看看你们作的虐
难民营也炸
恶魔在人间
悲痛欲绝，看得我很难受
为什么中东还都不出手？等着下一个打自己吗？
唉，为什么要这样呢
[泪][泪][泪][泪][泪]太难过了
以色列会直接毁灭巴勒斯坦，还是中东大国来平息这场战争。
天哪…
太TM惨了！[泪][伤心]
能哭死董卓否
地狱[泪]
这就是人间地狱
@rita-花语心愿
苍天啊
都是哈马斯的帮凶
大快人心，干的漂亮！
相信以色列的作恶会产生更多的哈马斯
冤冤相报何时了。更多的还是无辜百姓遭罪啊
换个角度想想，真的好悲痛
别打嘴炮，伊朗不是有核弹吗？发过去呀！
[泪]
毁灭吧！！！人无人性，炸个稀巴烂，全部重来！
南无大慈大悲观世音菩萨🙏🙏🙏
反人类的以色列[泪]
操他M的以色列
[蜡烛][蜡烛]🙏🙏
这些失去亲人的人，怎么可能还对和平抱有任何希望，以色列根本不可能“消灭”哈马斯，它们会把所有巴勒斯坦活着的人都变成抵抗以色列的战士。
因果轮回，不是不报，时候未到，以色列等着吧
转发微博
为什么会有哈马斯，因为这样的事几十年来不断发生[怒]
打仗的没有一方是好东西，发起战争的都是法西斯。以各种解放人民的名义满足个别人的统治欲，受伤的都是人民，简直是丧心病狂。建议处决发起战争的双方元首。
这程度远不及南京大屠杀
这样的仇恨只会代代相传
这是在逼别人为了生存下去拿起武器战斗，是为了生存而战斗[泪]
这又多了多少个失去至亲的哈马斯？
加沙人民能逃就快逃出国 太惨
与其等死，不如战死
[苦涩][苦涩][苦涩][苦涩][苦涩][泪][泪][泪]
令人悲愤
鸠占鹊巢，农夫与蛇，这道德沦丧的以色列
以色列不得好死
图片评论 http://t.cn/A6Wa4BNW
现在流的泪 都是以前脑子进的水[doge]
来看看公众号：拾三易
当代社会还有战争，都怎么想的
[蜡烛][蜡烛][蜡烛]
转发微博
#以色列# 惨无人道！
[话筒]
天哪，这还是和平年代吗[泪]
国际法庭跑哪去了？这是屠杀！
看的好难过
@以色列驻华使馆 以色列的罪行将被全世界人民铭记
原来法西斯一直没有离开，是时候清醒起来了！
