此记者三观不正
你才是三观不正吧
俄打乌他提问了吗[思考]
人家问你哪里不正？你倒是回答一下呀，大肘子？
很好奇，你的价值观是掉到茅坑里了吗？
二鬼子
心比天高命比纸薄的loser。
殖畜被饲养得真是忠诚
你的三观才是不正
记住六个字，犹太复国主义，那是跟日本军国主义一样的万恶之物
你说中国记着三观不正，那需要符合美国人的三观吗？ http://t.cn/A6W7L5jj
那你倒是说说什么是正？
很赞赏这个记者，看过好几次他的采访，每次的提问都一针见血，[good]
无耻的NO！@联合国 ！
大概就是中国的态度
需要发出正义的声音
从联合国拉偏架开始就注定了巴勒斯坦的结局，。。。以色列一直以来蚕食鲸吞，他们都装看不见
联合国能管啥呀？
冲突起源就是，以前联合国把巴一半以上的土地划分给了以。[doge]
联合国里的官僚主义也是很严重的
世界需要和平🙏🙏🙏[心]
长的有点像司马南先生[允悲]
[允悲]
[赞]
提线木偶
中国态度 世界需要和平[收到]
有道理
这相当于问狗还吃不吃屎
大概就是中国的态度
中国不是联合国五常么，居心不良
[good]
[笑cry]
这不就是西媒记者问问题的方式吗，以其人之道，还治其人之身。[good]
[good]
No？你当然会说No！[嘻嘻]
摆设
又是这个毒舌[笑cry][笑cry][笑cry]
为你点赞。
[赞][赞]
1
[抱抱]
自以为是的样子
世界不需要搅屎棍
装聪明
形象太差
点赞这个记者
联合国不过是旧有秩序下的傀儡组织
这人缺乏些常识和客观。 这次是哈马斯恐怖分子挑事儿   是以哈冲突。巴勒斯坦大多数人也是保持和平和希望和平的，包括巴勒斯坦被国际承认的法塔赫政权。
#联合国宣布调查巴以冲突中的战争罪行#这样的联合国，能否公正的调查取证战争罪行？
就应该这样问，早几十年就应该这样了！！！
德智在美国要小心人身安全，防止被意外
联合国安理会最无能，改组它
有良知的记者
中国记者牛逼[赞][赞][赞]
这里有媒体？ 别开玩笑了，能让你发和看到的，都是批准过的
问的好
狗屎双标
白皮从来不认为自己双标
对的
这人的风格很像芮成钢
装糊涂就是了，其他的闭口不谈，就回答一个不字，这和数学应用题不会，但我写了一个解有啥区别
[心]
[笑cry]这人在他合适的位置！good[贊]
不错
