女同学拉黑了都不知道[哈哈]
估计骂女同学的时候上来就是：你算什么层次？这是以你的智商能够理解的？大麻抽多了？
其实平时也不怎么交流
""
项老师，这一点来说应该是匿名才好吧，不然你身边又潜伏一个敌对分子了。
反对实名的大 V 都是心怀鬼胎
人家都知道你的职业地址名字，多的是无缘无故的恶意
反对全部实名制的都是心里有鬼，人人平等，要公开实名就全部公开，让网军账号无所遁形
单独一个实名虽不能解决造谣问题，但是和其他手段一起，将有效打击不实言论和煽风点火
有啊，有大V被封的
那看什么事情，封了，他也没辙
好事，有些坏种不断造谣攻击中国人的，都给他封号。
你看到有几个大v造谣和假消息封号的
怎么没意义，封号就干脆了。
他要是太牛逼了，你觉得高飞说了算吗？
他在搞政治、如果造谣和假消息不会消号的最多禁言
怎么不会，乔木还不是被销号了
因为还有我们这种生活环境特殊的人
你觉得微博会对百万大v销号吗
实名了直接销号，你觉得可能有这个漏洞吗，自己土地上的不让说话让国外的说？做梦吧你看到时候K在纽约的号号在不在，拭目以待
很多大Ⅴ不直接造谣，都是转发小号的谣言。
有些也担心个人隐私，害怕被攻击。
既然有大量谣言，管了总归可以大量减少谣言转发吧。干也没意义，不干也没意义。还外国博主，国内转发假消息的博主都不管，还管国外的呢。你到是会给国内的谣棍找借口。
也未必
传谣造谣的要严惩
对付大量转发有用啊
都是机构运营的营销号，以后不能为所欲为了
前台实名没意义、造谣传谣和假消息根本解决不了、因为很多谣言和假消息都来自国外、人家根本不怕、你也奈何不了人家、怎么对付谣言和假消息、以及国外微博主(这些人很多都是公知和反华美国人)这才是重点
你这女同学心眼太小，网上吵架能当真么？
也有可能项总骂她:“你有性生活吗”
也可能骂的是智商低
不对，应该是骂晚上有土豆丝吃吗？
他肯定骂了你这智商洼地，吃土豆丝了么
不对，我觉得是骂老油渣了
哈哈，项总骂人真的厉害
是那个要移民加拿大的吗
项总肯定骂她下等人了
我先来@来去之间 
夹总大名都不知道？
他说100万。
不是10万就要实名了吗？
""
这小子利用职权，把粉丝数控制在90多万，也就不用前台实名了。
公知白左都在对实名瑟瑟发抖，各种危言耸听，我关注的几个博主都没有。就很有趣不是嘛，按理说，公知不是在微博上有无数拥趸的嘛，不是应该很坦然实名制的嘛。反而爱国人士在微博上经常被讥讽被攻击，应该“怕”实名的。所以，他们也是知道自己在逆历史潮流，对吧？
我从第一天注册，就是实名
对于一些公知要求 不是大V的，所有注册账号都实名，要号号平等 你咋看？
实名何妨？我才40个粉丝，要实名也行。
笑死，这些公知刷无赖呢。要承担责任时，叫嚣号号平等。那你大v qia流量，赚钱时，怎么不全网平均一下？
你这不是白问嘛，博主肯定是赞同全部实名的
我也支持实名，也一直实名 减少造谣，对自己你言行负责
每次看到网暴的新闻都在想为什么不是实名，说话不用负责的吗？你随口一句，对别人的伤害可是实打实的！现实里这么说早就大耳巴子来了！
有利有弊…但对百万粉丝的大v…实名制不过分
项老师棒打女同学。
误打
公共平台发表意见，当然应该实名
很多大V敢说不敢当，所以害怕实名制。估计有的大V以后会怂得不敢说啥。项总是真汉子
骂人太凶也不好
@飞象网项立刚
哈哈哈，被女同学“友尽”了。
反对实名的那些，平时也会发一些或者转一些恨国党的言论。
期望实名制会让国内网络清静一下！坏人太多了。
来总正在想办法对抗叫他们先转美食博主未来你会看到很多美食博主大谈经济时政财经娱乐，到时候不要见怪
反对实名，假名的本质就是骗子，不只是骗钱骗色才是骗子。
君子坦荡荡，小人常戚戚
行不更名，坐不改姓。项总乃真豪杰
项先生性情中人。
说明聊得好，可能并不是真正的她 微博上的观点反而代表她内心真实的想法
我就佩服实名的大V，也只看实名大V的发言
项总纳闷很久：明明聊得差不多了
强烈支持实名
哈哈哈
""
你那女同学不明白黑天蒙面看打群架的危险。
""
项老师说的好，做人堂堂正正，不怕实名
""
这个真不怨项老师
支持实名制。
""
总有“聪明人”认为一对一的路径就能解决问题。我还说网上骂人，报警后也能知道真名字，路边有人骂你，不想报警的情况下，也懒得知道她的名字。目前来看想您这样的大V，列出实名最大的目的只是为了惩罚一个人，那么为什么不是警察来管这件事，难道实名了，普通民众就可以惩罚一个人了？弊大于利
哈哈哈哈，实名好
ip公开也就这两年的事啊
希望网络环境能够变好一些！
坦诚，牛逼，
""
刚看到这条新闻时，我就想到了项老师
哈哈哈哈
""
""
这理由
""
当人人知道李鬼是李鬼，李鬼还能有机会冒充李逵拦路抢劫？
光明磊落
要实名都实名，大V普通人都实名。
哈哈哈哈哈
项老师真是人如其名，看着不爽立马就刚
""
我五千粉丝也支持实名，我这个陶瓷手艺人都实名10多年了，来参观我厂的朋友都有N个
敢作敢当！
""
""
woz我也支持实名制的
实名好。实名好！我在草根网的时候就实名了。只是我在微博实名了，也不会有几个人关注知晓。因为我不是缴费会员，而微博是需要创收的平台。
哈哈哈
耽误大事了
well  well  well
哈哈哈哈
项老师很可爱
实名好，不知道其他视频平台会不会也尽快实名，现在私密账号搞事的很多
后台已经实名了，前台实名不必要
都是号称隐私，号称怕人肉。哈哈，然后就说以后不用这个号了，这种的可以不用看了，不是鬼就是。。。。
支持实名制。
项总性情中人，幽默感爆棚
老项性情中人
""
""
哈哈，项总这是吃了没有实名制的亏啊！
嬉笑怒骂真性情
哈哈哈哈哈加麻大的
好
君子坦荡荡，所有人都应该实名
项老师君子坦荡荡
君子坦荡荡，小人常戚戚
""
应该实名制。否则那些湾蛙曱甴匿名攻击！
坦白说，移民了的很多人除了私交情分外，已经去了别人阵营，打起来就是敌人
""
哈哈哈，女同学被骂之后气死了，现在知道你不知是她骂了她了还要气一
网下是平易近人的小老头，网上就是战神附体。
移民同学有点脆弱。
要像美国一样标注外国代理人，让这种谣言的一眼就可被读者辨识
最后一句感觉项总有点后悔
哈哈，看了女同学那个例子，实名后该骂的就不骂了？还是不要实名好，可以正确输出自己的观点！
太喜剧了
项总真男人
""
我的微信一开始就用实名，使用至今从没改过
一段走了8里路的缘分就这么断送了，可惜了可惜了
实名好实名好
哈哈哈哈 挨骂了还说出去
转发微博
""
如果对防治水军有效，就双手赞成
哈哈哈
微博不实名，但我微信就实名
痛失女同学
项老师流下后悔的泪水…都是不实名制的祸！
