有些人就是天生坏种[怒]
我原来强烈反对这种观念，现在无比印度的，人类天生本恶
我不同意，本末倒置的教育造成的…人格教育的缺失
种不好
你大概连起码知识都没，知道吗？有热心肠的人基因占98%，不知道吧！这特么是分子生物学基因检测报告！不懂这个，就闭嘴吧性本善恶是想象出来的？你认识几个人？bullshit
你别带所有人啊，这种事情不犯法我都做不出来
我还没点进评论的时候脑子里的弹幕也是这句话一字不差
所以在成长的路上一直被教怎么学好
没了少管所，没了少年犯，等于不教，放任自流
同意，只是如今没了少管所的衍生物罢了
你说的太多了，人性本恶，并非良善。
教育缺失，社会的悲哀。
认同
对，我非常赞同。人之初，性本恶。善良是教化的结果，不是天性。
有种人真的天生就是流氓地痞的。
但是这种人，教也教不好的
不是有些人，是所有人  人之初，性本恶
这种就该进少年管教所
狗怎么没咬死这种人
进什么少管所，毙了吧
未成年人保护法保护的往往不是受虐者，而是这些施暴者。保护这些恶魔更低成本的作恶
而且少管所的费用必须由家长出
小孩就是会挑最弱小的欺负，我上学的时候班里有个女生黑胖黑胖的，家里也穷，班里几个混小子就天天欺负她，而且欺负的等级越来越升级，后面就演变成袭胸、从后面解她内衣、摸屁股、拽内裤这种行为了…
老师连自己本职工作都不称职，还管这个
回复 @人心愚妄:我今天不开心的气发他身上了
我把他拉黑了哈哈哈哈哈，甭理他
我的凳子就和男同学之间开玩笑被他摔坏了，我会和女同学打架，但不会那么无聊。 好欺负……我狠狠还击了一次，小学期间就再也没有人撩我这“疯子”，下手狠点，一次搞定
就应该这样
好人一生平安
你好勇敢
咋说呢我们上学那会比较乱，老师管但很有限，而且也不太好管，那时候学生打架都抄刀子钢管甩棍的…
老师不管吗
干得漂亮
就得打回去，不然准备一直被欺。
为你点赞
确实如此。人善被人欺。越是委屈容忍，就越是被欺负的厉害
给你点赞，有狭义之心。说明人的善恶早就根植在基因里了
谢谢姐妹！也祝你幸福快乐
感谢你的挺身而出。祝你生活幸福快乐
小孩会挑最弱的欺负？给你个机会重写一回
那几个我也没联系过了 我看朋友圈好像都结婚了吧……
那欺负她的那个人呢？过得怎样？
优秀，心疼那个被欺负的女孩
所以爹妈离婚受伤最大的还是小孩儿
初三的时候就定了去职高的协议，后面再也没来上学，中间再也没联系上过，但我一直没删她好友，能看她的背景图看出来现在过得还可以！
为你鼓掌，为你朋友高兴
现在这个女孩子过得怎样？还好吗？
但他们还在欺负那姑娘，后来都有点演变成校园霸凌了，只是不敢欺负我，有时候人多的情况我也不敢怎么样，只能拽着那个姑娘跑或者说有老师找她
你太棒了 这种人就该往死里反抗 否则有第一次就有第二次
霸气外露！！！
佩服 佩服
棒
干得漂亮对这种孩子就该这样
然后那个女生可能是不敢反抗，毕竟家里条件不好又是离异家庭，我就逐渐逐渐和她成了好朋友，能帮她远离一点是一点，结果那帮男生就把我也划为好欺负的那一类，有一个男生就试探的摸了一下我屁股，我反手就轮起保温瓶就砸他脑袋上了，最后送医院喊家长闹的挺大的，但是班里有好几个同学作证他摸我屁股
tmb的小兔崽子们腿给你打折了
唉，农村人从小就善良
你赶集的时候统计过
放P，小时候欺负我的都是农村人
农村格外多
一看就是你妈给你如的外国名字吧
你们泰国人还真会分裂群众嘞
城市的狗会咬人
她说的是小时候，小时候确实除了调皮捣蛋，也不会想着害人啊
这个和城市农村没关系，人渣哪都有。
哪来那么多的淳朴和善良，一般来说贫穷落后对应的就是野蛮
朴素，踏实……
现在的孩子都啥素质，我们小时候以打女生为耻，要打大老爷们去处练
没错，都是男生之间打架，真没见过男生这么欺负女生的，最多在铅笔盒里放个虫子
@Vickyyss
周围有这样的，见面就发生关系，因为儿子是劳改犯不好找老婆，不过现在小日子过得也挺好的，孝敬公婆，家庭合睦。
卧槽，有这么恐怖吗？
现在村里人都教孩子强奸女生，这样以后娶这个女生就不需要彩礼了。
小兔崽子太嚣张了，这可是在课堂上啊
啥年代都这样。
这种要不要处理？捕杀狗挺起劲的。
我觉得需要，以儆效尤，不然杀人放火啊
这种崽子狗都不如
绝大多数情况下，没有拍摄，没有传播，没有发酵，没有后文…. 可怜的孩子
老师呢？？老师呢？？
我家三代都是教师，我们这边真的这么规定，高中都有副班主任管生活，在小学教地理（自然）这种不算主科的老师就当副班主任
我们区十多年前就这样啊
问的就是老师去哪了，看来你也是这种小学教出来的上来就急赤白脸的
刚问过孩子，班主任课间休息时会一直在教室的
你去当吧，看你能不能做到全天候无缝值守，备课批改、吃喝拉撒啥也别干了，就全程看着他们。
我们这里跟那个姐妹说得差不多，另一个极端。一下课班主任就去教室转悠，不让追逐打闹，所以好多家长吐槽孩子没童年，学校管太多
这是你规定的吧
本来低年级在校期间就应该有老师看着，就算留守儿童学校条件不好，没安排副班，这明显主班老师也不上心啊
老师24小时看着？这明显不是上课时间。
拿手机拍摄的人太恶心
他要是不拍摄，咱们都看不到，这个小女孩会一直被欺负
没有拍摄，一直被欺负大概都没人管。
还得感谢他  不然微博看不到
有些小孩天生就适合送去踩缝纫机
我小时候贵州长大的，初中小学都一直遭受校园暴力，有一次一个社会人抢了我奶奶给我的5元钱，忍无可忍了，拿了把跳🔪捅了他几刀，从那以后学校没人敢动我，因为一动我我就要拿🔪夺人，之前校园霸凌我的人，给我道歉的都算了，没道歉的有一个被我拖到公墓山上绑起打！
因为知道🔪扎在身上很痛，会流血，会死人的。
因为害怕
挺猛，但是他们为啥不一起上呢？
一定要严惩这些兔崽子，欺负一个小姑娘，这些兔崽子都TM欠收拾
这么长时间老师都没过来阻止？
6分钟，没有报老师，老师怎么知道？
校园暴力上热搜那么多次，竟然还在频频发生，小小年纪心肠太恶毒了
想把他腿剁了
留守儿童不是犯罪的理由
我第一时间庆幸的竟然不是qj，幸好是被殴打
感觉年龄不到，再大点不敢想
仅仅是被围殴 不幸中的万幸
这学校的老师是死了吗
也许这种娃的家长在村里老师也惹不起
必须尽快解决工业化发展与家庭问题的冲突。父母外出打工，不是安居乐业的方式。乐业而不安居，不是社会正常状态。是以牺牲人性基本层面完整性为代价的。
什么破学校，什么逼风气。。
刑法适用年龄的降低迫在眉睫
这种~不跟流浪狗一样吗~怎么解决？
现在看看三字经，觉得可笑
太坏了！众筹一帮未成年混子给他们加倍奉还。
这么小就变成了社会渣渣
终于明白为啥好多中学教导主任都是些很严厉，看起来很凶的中年男人，不然管不了这帮混混。
冒昧问一句，会怎么调解？
绝对不是第一次了。估计又是赔很少的钱了事。这种长久危害社会的渣子，真的希望能打上一辈子的烙印，永久偿还。
采集鱼猎社会以来，人能活到成年，一般就能至少活过43岁。童年都是人生中最难熬的一段时间。即便到了21世纪也一样，老师可以打、家长可以打、同伴也能打，还都不受法律约束。
老师打了，调离教学岗位；家长打了，那是为你好；同伴打就更没事了，都是小孩子闹着玩；没一个会受到法律制裁的。在成人之前，就没人当你是人——尽管我们也有《未保法》，那也就是给成年人脸上贴金的，其他一无是处。
末成年保护法实际上保护了加害者不受应得的惩罚，恶法的纵容，诱使未成年人犯罪的增加
留守儿童真的太惨了
太可怕了，小学生啊，才几岁啊！都这样了么？
能不能恢复少管所啊，现在这都是什么啊
没精力教养还非要生！生出一堆混蛋，对社会有什么用？
有些人难道天生就是坏种……希望一定要严惩不贷呀！
长大了见不得这种，觉得心疼，年纪小的时候也许会冷眼旁观，以前我就看到一个女孩子被她们班的男同学远远的冲刺一脚飞踢，他还说敢告诉老师要她死。
少管所非常必要
这种伤人的流浪男孩怎么处理啊？？
报警报警——学校老师追责
坏人不分年龄，性别，家庭等等。
失教的恶果。现在父母外出打工的，将来多半孩子有缺陷。婴幼儿没有父母陪伴的，一是教育管教缺失，二是心理健康不良。
教不严，师之惰。子不孝，父之过。
这么小就这么坏，杀人犯预定
大人不教的话生他干嘛，一群多余的玩意
太可气了，家庭和学校都有责任！无法好好养育孩子，真的不如不生！
