先声明不是来抬杠的哈，2%的YT人占了诺奖应该基本属实吧，这怎么来认识呢？
莫言是中国作家唯一得诺奖的，莫言是中国最优秀的作家吗？
你确定炸药奖就是客观公平的？
转@莫也的小栈:最可笑的是现在国内有人宣扬犹太人获得多少诺贝尔奖、为世界文明做了多少贡献，似乎这样以色列侵略就合情合理。这种赤裸裸的种族沙文主义只能在中国见到，况且犹太人取得多少成就和以色列有什么关系？绝大多数非以色列籍的犹太知识分子都反对以色列侵略、同情巴勒斯坦人。
美国总统还经常得诺贝尔和平奖呢，你觉得美国给世界带来和平了嘛
图片评论 http:
诺奖是怎么评的，公平吗？美国总统侵略各国得诺奖的多吧
大和尚都得了诺奖
诺贝尔奖怎么了？有袁隆平厉害吗？能给中国带来什么好处？
奥巴马任职期间先后对8个国家动用武力，结果拿了诺贝尔和平奖。这不讽刺吗？诺奖还有什么权威？诺奖早就成了政治工具。
难道不是因为德国搞出了最早的义务教育制度，这些大都是德国人。
这话术都不怎么改的么？奥巴马的诺贝尔奖就是搞笑的。
只要获得诺贝尔奖都是犹太人
发明中国两弹，研发中国空间站的，中国自己芯片的科学家有没有可能获得诺奖？
就像历届发动战争的美国总统总是诺贝尔和平奖得主一样
诺贝尔和平奖得主，有几个人奖位相配？
得奖多是把别人灭族的理由吗？
你这种认知在家看看小人书故事会不香吗？
美国总统只要不打仗就能得到诺贝尔和平奖！
那是德国人牛，有出息的主要是在德国的这一支犹太人，搭上了德国普及教育的顺风车。
最优秀的民族怎么会到处流浪呢
上帝对不听话的犹太人的惩罚。他们都流浪好几千年了。最辉煌的时代就是大卫和他抢别人老婆生的所罗门时代。从此犹太民族就没落了再没有辉煌建国过。二战后英美让犹太建国是为让自己统领世界寻找支撑。以色列以自己是上帝创造的子民为傲，自动摒弃掉自己民族已被上帝厌弃好几千年了呵呵@以色列驻华使馆
那这满大街的流浪狗。。。
到处流浪是为了体现优秀
太狡诈
依靠掌握的媒体霸权、金融霸权，编制历史洗白自己，洗脑世人
我大意了啊，把家搞没有了，不过没关系啊，犹老师有大聪明，可以搞定居点
说走就走的旅行一路害人
它们太聪明所以喜欢到处流浪
最优秀的民族有五千年的无断代史，有着能团结56个民族的文化传统
犹太人的第一个国家“大卫和所罗门王国”没活过八十年；第二个国家“哈斯蒙尼王国”亡于第八十年；第三个国家“以色列”成立于1948年，迄今已有75.5年…
这就是皮包自己给自己的心理暗示
油大不是靠出卖主人苟且的么
心诚则灵
全是编的，有真正的考古遗迹证明吗？
""
就这还是编出来的，除了现在的以色列，没有任何历史记载或考古证据支持存在过这些犹太人“国家”
还有4年半就要灭了
还有4年阳寿？
看来这个活的有点久
一个拥有五千年不间断历史的民族被它们视为劣等民族，一个被驱赶了两千年居无定所的民族被它们吹成优秀民族
有小聪明少大智慧不是什么好事情
小聪明的结局基本是厌恶
小聪明也是吹出来的
最有钱的民族。。。什么？对不起，你太有钱了，以至于是罪恶
有钱真的可以为所欲为.gif
没事还放放高利货
有钱没罪，有钱作恶就不一样了。
纳粹本来就是极端民族主义，严格来说如果犹太人所吹嘘的历史是事实的话，那它们就是最早的纳粹
我只心疼我们的大使！这坎，迈不过去！
【希特勒等德国军官都是可萨犹太人，大屠杀是为了让底层犹太人支持犹太复国主义】看到这样一条评论？意思是犹太人互屠
它们的骨子里没有怜悯与同情
就是披着人皮的恶兽
两个都自以为最优秀种族间的相爱相杀而已
鱿态族他们爱到深入，子弹与刀刺般的深入
纳粹旗帜和以色列旗帜放在一起，还差一面，就是日本国国旗。
犹太人手中拿的不是圣经，而是小胡子的<我的奋斗>
内塔尼亚胡《我还在奋斗》
