雄赳赳，气昂昂，跨过鸭绿江[爱你][鼓掌]
那时候没这个实力好不好那时候我们已经快撑不住了勉强拿下个朝鲜而且那时候如果我们拿下了朝鲜也没那么多国力去发展国内还穷得饿死人了
可以。那你说为啥抗美援朝的时候不把朝鲜收了？当时有那个条件，而且一直都是宗主国，也就汉朝有一段时间，生下来这千年你看那次是范围的
朝鲜半岛自古都是我们的这没有问题。
他们当时也是20岁的年华啊😭😭
青蛙哪里滚回哪里去
保家卫国让你一下子变成侵略了
跨过鸭绿江收复朝鲜韩国都是我们的
动作都迅速点，兄弟部队已经占领汉城了，再不去美国佬都被打没了！！
我都想哭了看你这句话
泪目
雄赳赳，气昂昂，跨过鸭绿江#纪念抗美援朝出国作战73周年#
图片评论 http:
👍
可惜，他已经不在了 http:
不，他们一直都在，永远都在!
他在的，他们都在的，永远都在
致敬
英雄
我爷爷是坦克兵，96年就去世了
致敬英雄
""
我们家也有，但是老人去年过世了。
我爷爷也是，没有拿到，同炮兵
就是每年养老金上调的时候，会比别人调的多
好奇问下 这种老兵生前有什么待遇
生前有没有什么福利待遇
我爷爷是空军地勤，19年走的，所以也拿不到这枚勋章。我觉得老兵走了，也应该发给家属，让子孙后代都知道他们的太爷太太爷是多么的了不起的一个人。
哎，参加过这场保家卫国战争的老人们还健在的已经不多啦
很有可能哟～
我爷爷是炮兵，可惜他没能拿到这个
我外公也是高射炮兵，说不定曾经一起战斗过的
致敬！
NB，致敬
高射炮
老爷子是什么兵啊？
我外公
这个英雄是哪个啊？
我在凤凰做过一期关于朝鲜半岛志愿军遗骸归国的节目，南北两侧都去了，最后还是用了歌词做题目，“四面青山侧耳听”。英雄不朽
歌词真好，英雄不朽！🙏
英雄赞歌，前段时间单位组织的唱红歌，我们唱的就是这个
大风起兮云飞扬，威加海内兮归故乡，安得猛士兮守四方！
和平繁华贪金银，危难乱世思继光！
请问这张图哪里来的 我想看看来源的视频有吗
谢谢
谢谢🙏
来自河南郑州的志愿军老战士与丹东边防检查站的守桥官兵踏上丹东中朝友谊桥（10月22日摄）。2010年10月22日，21名来自河南郑州的志愿军老战士与丹东边防检查站的守桥官兵一起登上中朝友谊桥，唱响《志愿军之歌》，重温当年的激情岁月。今年是中国人民志愿军入朝作战60周年。新华社记者 任勇摄
同求
为啥不开坦克！！！
但凡当年有T54志愿军能把朝鲜半岛统一喽，韩棒或许就成为历史了从前出现过，但是以后没有过
老哥，你理解错我意思了，我应该加个狗头的
你说当年的话…全国也整不出多少辆可战斗坦克跟坦克兵可以调集过去啊…
因为入朝需要隐藏，我方又没有制空权。还没有米格走廊。问得很让人血压升高的问题
雄赳赳，气昂昂，跨过鸭绿江！
身虽朽，气仍昂；重跨江，国已强。
仁义之师！
今天的山河无恙和幸福生活是先烈以血肉之躯拼来的，我们每一个人不应该忘记，更应该珍惜来之不易的和平！
向志愿军老兵致敬！
我爷爷也去打过美国鬼子
脚踏汉江两岸，威震地球东西。
拳打麦克阿瑟，脚踢美骑一师 不敢想当年什么样的脚能跑过铁王八，还早到了
今天是志愿军出国作战纪念日，致敬伟大的人民英雄！
把敌人打回到谈判桌
以前只是听说，感慨，最近则是感同身受。感恩先烈！
我们的英雄
赞👍🏻
敬礼
英雄不朽！山河永念！🇨🇳🙏🙏🙏
中华民族世世代代，都牢记着您们的功勋！
转发微博
泪目。致敬这些英雄
精气神
一个老兵：还要去三八线浪一回
求这张图片的背景故事
今天刚看了正在上映的抗美援朝的电影，过程中几度落泪！感恩先烈！
👍🏻
帅
雄赳赳，气昂昂！ 气势！
这图
再过鸭绿江
转发微博 http:
拍的真好
🫡🫡🫡
这是什么照片？
想哭
好燃啊
虽然当时所有大桥都被摧毁了
这压迫感，有法新社的味道
还是现在国家重视那些老英雄了呀，二十年前我们村里面的抗美援朝老英雄马路上被车撞了，现在都没找到肇事者，家里又没钱，付不起医疗费在医院就那样去世了
这张图哪里有高清的
蹲
地 狱 尖 兵
最可爱的人
全体都有！立正！敬礼！
向前向前向前！！！
👍 👍 👍
有种神从战火中走出来的那种宏伟感家人们谁懂
祖国昌盛
爷爷们是最帅的人
英雄！
没有你们就没有我们
英雄永远不老
好喜欢这种
有您们，我们才有幸福今天
敬礼🫡
致敬我们的英雄们！
昨晚刚又刷到了兔子的这一集 呜呜呜 不能哭 眼泪也会冻住
雄赳赳，气昂昂，跨过鸭绿江
赞
@木同童同木 激动的我鸡皮疙瘩
依旧雄赳赳气昂昂！向先辈致敬！
我泪点低 一想到还有大么多年轻的勇敢的优秀的中华儿女永远没有回来，没有好好看解放后的新中国 我就觉得好难过
楼下大爷如果还在，应该95岁了，从四野到抗美，
好震撼
我爷爷也是其中一员
打出了国际地位
帅炸
腿都一致，
给我看哭了
俊。
雄赳赳，气昂昂，跨过鸭绿江！！
太帅了
牛逼
在哪拍的
求这张图的来源
#纪念抗美援朝出国作战73周年# 我们建国后和当时强国硬碰硬，赢了，国运昌隆，缅怀先烈，致敬英雄🙏🙏🙏
雄赳赳气昂昂跨过鸭绿江，保家卫国
向英雄致敬！
向志愿军老兵致敬！！敬礼！！！
看着这些老英雄，瞬间泪目
致敬最可爱的人！
打得一拳开，免得百拳来！
雄赳赳，气昂昂。跨过鸭绿江
雄赳赳，气昂昂，跨过鸭绿江！🇨🇳
致敬前辈！
？？？ http:
这缘分 像一道桥 故事瞧一瞧 走天涯 你我卸下战袍 梦回长城谣
钢铁洪流
三八线上浪一回
再次跨过鸭绿江
最神圣的照片
雄赳赳，气昂昂跨过鸭绿江！
英雄永垂不朽！
向志愿军战士致敬
路过的家人们可以动动手指给我的微博动态点个赞吗？？拜托大家了
最美飘渺峰
勿忘国耻 爱我中华，强军强国
中华人民共和国解放军的后备力量。
好帅
@Missmia29
@思想的盒子
痛揍联合国
看我鲁今日抢滩登陆仁川！
谢谢你们！
致敬(｀•ω•´)ゞ敬礼っ
#197653音乐影片致敬志愿军#
