很棒的活动！期待~
安琪老师[抱抱]
安琪老师好
安琪老师！！[开学季][开学季]
欢迎大家来参加活动~~报名指路：http://t.cn/A6lUk9vd
[话筒]
请法山叔和某圣讨论一下，倾斜的天平还能是完好的天平么？
咨询下罗翔中国法律的正义重要还是基督教圣经的正义重要
回复@常记溪亭朝暮:那确实，我的认知是不会对一个造谣污蔑他人玩双标的人产生任何好感，而你不一样[太开心] http://t.cn/A6lfR8Pn
回复@这个老夫子不太冷:你的认知和逻辑和你的智商很相配。[鄙视][鄙视][鄙视]
回复@常记溪亭朝暮:那是，毕竟没你家罗圣会造谣会污蔑，还会知法犯法，知道微博会扒他黑历史，也就只能在B站混混了
好low。[鄙视][鄙视][鄙视]
🤡
社会loser来了，成天除了喷不会别的
你先说这两个正义都是啥
有线上直播吗？
同问
同问
如果所有的行政部门都不得不在法律的约束下积极作为，认真履职，我们离建成法制社会就更近了。
有线上直播吗？很期待。[打call]
越发原子化的社会还能接受法律天平的倾斜吗？
成都可以来吗
没约上，，法老师活动顺利，玩的开心，下次再来。
靠，没办法面基了
有直播吗？如果不直播会有视频放到线上平台吗？
都是自由派[doge]
可惜那天有工作安排[泪]
哟让我数数，刑法，行政法，证据法，法理学，这可是好几个部门法的大咖都齐聚一起哈，再加上大律法山叔，期待所探讨的话题。
哇哦，期待一把子，需要预约啥的吗
哇，这个太好了，关注。
@清补凉好吃嘛 @Angel小暖平
能线下听吗
请问有直播吗有直播吗！！！真的很想看直播[泪][泪][泪]
哈哈，我要是在北京我就去了
哇哦！
好耶好耶[哇]好期待[哇][哇]
看来没有直播了，我还特意设置了提醒
能讨论一下在门口安装摄像头的问题吗[泪]已经要折磨疯了被
未成年保护法对残忍案件未成年罪犯的“纵容”算吗
有直播吗
叔，请问有线上路径吗[泪]外地粉丝也想观摩
期待[嘻嘻]会直播吗！
考六级[微笑]
会直播吗？
会有直播吗
期待
太期待啦！！！！！
[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
有直播么
能直播吗！
怎么参加呀
可以有直播吗🙉好期待
肯定很精彩！
出息了
哇哇！怎么报名呀
请问有直播嘛
线上同步吧[跪了]
能扩大影响吗[并不简单]
哇哇哇
请问如何参加？
请问有直播吗？外地朋友也想看
会有直播吗？下雪太冷且自闭，能否提供线上途径观看？
网红该线下[doge]pk
可以去现场吗？
能录像吗
哇奥，巨星云集[鼓掌]
来了来了
会有直播吗？
哇 有直播嘛[哈哈]
点击http://t.cn/E2sXvs3，查看更多此地微博！
需要买票吗
正巧在北京哈哈哈哈哈哈开心
有直播吗？
期待[鼓掌]
哇喔[求关注]
有线上直播不
会谈到成都地铁案吗？
然后出个新小说嘛[doge]
好羡慕啊 有深圳场吗
直播？B站还是微博？
