强烈支持大V前台实名制[good]
强烈要求官员财产公开实名制
炒得沸沸扬扬的医疗反腐，突然之间，没了任何消息[允悲][允悲]
官员财产公开
坐在暗处带节奏的，可能有点害怕前台实名。
坐在暗处带节奏？？？ 首先必须支持官员财产公开！
哈哈哈，本来快只有一种声音，以后越来越只有一种声音，只能赞，点赞，猛赞，彩虹赞。反正最后都是大众和普通人越来越倒霉。
支持10万粉丝前台实名，公开较量，光明正大[挖鼻]
支持实名制，就一句话，“撕得好，再撕响些”
实名制不彻底不如彻底不实名！
说明你有影响力了别瞎带节奏
连那个地瓜熊老六，号称爱国的大v，都不敢实名[允悲]
我不支持！
这样一来，马上会发生大的变化！
感觉应该人人实名制，不管粉丝多少
娱乐100万以上，时政10万以上
普通人也应该
@---风扣门环---: 炒得沸沸扬扬的医疗反腐，突然之间，没了任何消息[允悲][允悲]
《实事求是就是这么被糟蹋了的》 http://t.cn/A6WLEBpD
温水煮青蛙，多年以后说不定人人自危！
迄今为止，唯一看得过去的政策。[赞]支持一把[允悲]
还是老胡坦荡，一直是实名
墙头草
回复@北风嘶歌嚎:大实话
回复@39ddff:胡狗臭名远洋 千古不朽
回复@一句话反驳:多读读书再发言
老胡是奔着名垂千古去的，不实名不亏了吗？[允悲]
他是沒辦法匿名呀[允悲]
回复@Yuppies_LMZ:都黑成铁粉了吗？[允悲]
官员财产公开[doge]
回复@渊渟岳峙-轩辕居士:高情商：坦荡 低情商：死猪不怕开水烫[doge]
回复@齐木楠雄爱咖啡果冻:对，收入实名制
胡锡进就靠这个实名前主编弄钱呢
建议公布大V财产和收入
没有儿女不知道。，财产都在美国否。不清楚，一切为了党国有待考验
其他大v有老胡背后那样的靠山吗？
能不能网上发言的所有人都实名公开且挂出身份证`尾号啊？
回复@黄河小子love:贪污10万死刑
想看看老胡每天微博的收入是多少
官员财产公开，老胡也可以第一个公开[允悲]
回复@渊渟岳峙-轩辕居士:骂人者无耻之尤。
说好听的叫坦荡 不好听的叫死猪不怕开水烫[doge]
