事务所，不是律师事务所，是张律师，事务所，不是张，律师事务所。
名称也不合法啊
九杨 律师事务所 没毛病
范围他不说了吗，不含需要律师事务所执业许可的业务
""
那经营范围呢
越来越离谱了。
名称是律师事务所，还排除律师法，可笑了
查了下国内有 346 家 http:
离谱
换个角度思考：探索律师单干。。。
律师的初心是什么？
维护公平正义
赚钱阿
申张正义
工商登记太乱了，市场监督管理局该反思了，建议问责
工商登记不是乱，是从来就没有理清过
登记机关是行政审批局
真乱。
这本身是个擦边球，律师事务所是不能开的，但律师事务所（个体工商户）在商事登记中并未禁止。某种意义上，这哥们儿确实蛮懂法
这不是他懂不懂法的问题，而完全是看本地工商局（领导）的意见。你懂法，你去海淀工商局申请注册一个律师事务所试试？只能得到嘲讽。我记得，工商注册律师事务所的事，在好多年前就出现过，引起过讨论。#律师#
怎么没有禁止，看看《企业名称登记管理规定》
那个体工商户的经营范围呢？
这个事怎么没见当地律协和司法行政机关去管一下？
这叫一个乱，大家都去注册个体工商户算了
真牛掰，在哪儿，我也去
我们这儿只要拿个身份证就可以办营业执照
不知这注册需要律师证不
谁会咨询一个没证的人啊
不需要，它的经营范围是法律咨询。不能参与诉讼的
图片评论 http:
凡是推荐 成功委托返点20%作为感谢
南通州北通州南北通州通南北
懂猫儿
快了，后天我就能自己去办个派出所了
这个源于日语的词，中国在用，应该不行。开个“警视厅”有可能……
经营范围有水平
佩服老板能说会道
晓米手机、华无手机、康帅傅方便面。
出现这种问题更应该@市场总局
个体工商户办理下调到乡镇政府办理了，基本的培训应该有吧！
法律咨询公司可以开，律师事务所（个体工商户）不可以开么
假的
再不出手管管，只会更离谱。
怪事年年有今年特别多
看来谁都想分一杯羹！
不忘初心，方得始终。
昨天的，这么着急晒？
？
应该是司法厅颁发吧
个人所就是个体户吗不是个体户吧
直接在当地12345举报即可吧！问责！
越来越离谱，不是专业人士，谁能分的清
这是违法的
这样的话我刚刚过了法考，也可以打这个擦边球了
给钱办事，无所不能。
惊呆了，太乱了吧
擦边球
创新
法治崩溃
办营业执照的工作人员业务问题
6️⃣
应该管管了
越来越离谱
律所的成立不需要前置程序？不需要司法行政部门审批？
律师正义谁来伸张
法治成果，灼灼其华！
@蔡雅奇刑法 越来越离谱
如此乱象～～
诧异😱
乱象丛生
牛逼
妙啊
注册资本2万元人民币！
问题是居然还有人委托了
有没有一种可能律师事务所只是他店铺的名称，不是他的经营类别但是他打擦边球了
鱼目混珠何时休？
罗刹国法制体系
律师现在连律师的权益都保障不了，真惨
咨询业务而已，地区+名称某某律师+事务所也没有问题
笑
离大谱
奇葩
越来越离谱了
只要能把事办好到也无所谓，就怕搞坏名声！
这个行业搞烂臭算了哈哈  否则很多学法的还真以为发大财
商法老师呢？说说这个创意合法么
神仙打架，我们遭殃
本科学历证入场券考试，没有就只能开办律师APP网站，或是介绍人员给律师事务所，收益三百块一个三千块十个三万块一百个
不太容易理解。。。
律师朋友们不是一直苦司法局和律协久矣吗不是吗，开个律师事务所（个体工商户）吧，就不会再受司法局和律协管理了
业务范围受限制的，你看看他的营业执照写着:不含xxx，这种大多是做掮客，而事实上你有介绍业务的能力，在律所也能混的下去
那还考啥，直接都能开所了，直接当主任多带劲啊！
通州区市监局出来挨骂
这真的太扯了！工商部门对法律咨询服务公司的审批，都有严格的规定，个体工商户居然成了律所，法盲。
@豆芽肉圆子
