看着挺有食欲，比脚丫子强多了[doge]
回复@铅医蔷薇:这种的直接截肢吧
妈耶，，这，，这，，，亏得已经在这里看的多了
太后悔打开了
回复@铅医蔷薇:这图看得我脑袋嗡嗡的
回复@铅医蔷薇:一打开头晕目眩[doge]
回复@So_nice_3Q:机智，我好奇点开了[允悲]
回复@So_nice_3Q:你太机智了
回复@铅医蔷薇:我的妈呀  大晚上我为啥要打开[衰]
回复@铅医蔷薇:不，肯定是烂脚丫子，我就是不点开。
回复@So_nice_3Q:正经图
肯定不是什么正经图片，反正我没点开。[摊手][摊手][摊手]
回复@铅医蔷薇:为什么不早点去医院，不疼吗
回复@铅医蔷薇:嗯，大概以前看的都是直接缺一块，不像这个有四根骨头支出来，冲击力比较大
回复@清冷月光Cynthia:还有更严重的
回复@铅医蔷薇:就算是看你微博很久了，这个图片的严重程度我也是第一次见
回复@铅医蔷薇:我为什么要点开[允悲]我要去洗洗眼睛
你说的是这个吗？ http://t.cn/A6lIEwrq
这不得卖30一份[喵喵]
回复@铅医蔷薇:那比我们这边的便宜
回复@云上轻时光:我这里在超市里买虾，就是普通的大虾，29块钱一斤，大约15~20个。
回复@猫大白:我们这炒饭要有虾的话就30起的
回复@他们认为我疯了:挺便宜的嘛，我们这里虾挺贵的
回复@铅医蔷薇:我以为三顿呢，结果一顿吃了仨[嘻嘻]
我昨天买16只虾17元
回复@铅医蔷薇:三份才20。外卖一顿的钱，自己做能吃三顿。比外卖吃得好很多。
人工和房租是最贵的，食材不贵
回复@铅医蔷薇:一般外卖的一盒饭我都能吃两顿……[跪了]
回复@铅医蔷薇:[汗]是不是准备明天那两顿不吃了
回复@DF教主文成武德千秋万载一统江湖:嗯啊
回复@铅医蔷薇:一顿吃3盒饭[费解]
回复@DF教主文成武德千秋万载一统江湖:一顿就吃完了[笑cry]
回复@铅医蔷薇:这是不是准备吃3顿？
回复@老崔2011-11-11:饭店算人工，人家得挣钱，咱不算[笑cry]
回复@铅医蔷薇:厨师的人工费[并不简单]
回复@铅医蔷薇:人工没算[并不简单]
图二的样子，搞了三份。这一堆加起来，材料成本也就米饭2元+火腿肠4元+萝卜1元+蒜薹5毛+鸡蛋3元+虾仁7元＝17.5，算上油啊，盐啊，电啊，估计一共有20。
色彩不错
