和红十字性质类似，主要在阿拉伯国家。//@大海之旅:红新月是啥？
向全世界正义的医务工作者致敬[good][good][good]
谴责以色列纳粹屠城暴行！
联合国解散吧，这种暴行都不能制止
国际社会只讲实力不讲道义，联合国只是一个供实力玩家谈判的地方
哈哈 联合国解散 小国更垃圾 到时候人都不是 就是随便杀的动物[偷笑]
阿盟，甚至巴勒斯坦政府，才是最应该解散的，这是他们自己的事，都尚且如此怂
联合国主要是提供了一个吵架的平台
五大国自己建个群一样的效果
联合国解散了，弱小国家更没有地方发声了，现在起码还能表达一下反对
已经很多年没怎么听到联合国这个词了，早就形同虚设了。
以色列国本来就是联合国制造出来的怪胎。
对啊，还收那么多的会费，回家洗洗睡吧。
唉 作为医务工作者泪目了
根据目前以色列的言论，感觉真的会不管不顾，肆意屠杀。
已经轰炸撤离的车队了
已经杀了啊[doge]
真的干了，再一次屠犹日子就不远了
历史上，哪怕战争年代，冲击医院的，只有法西斯，恐怖主义，还有中国医闹……以色列，会不会是第四种？
回复@一个并没有什么用的小号:太乐观了，没有防爆叉的[二哈]
回复@cminiapple:都老老实实的，真以为警察是摆设呢？没见过敢闹警察局的
回复@cminiapple:我报过警，拷走了拘留加赔款[挖鼻][挖鼻]
回复@心儿心儿甜甜:铐不走，都是让协商解决。警察也怕下一步家属闹警察局
回复@cminiapple:谁说的，警察来了会拷走的
回复@一个并没有什么用的小号:保安哪里敢管？警察来了都是和稀泥
哥，医闹的话报警喊保安拿个防爆叉也就差不多了，以色列不行啊[允悲]
老哥，秀
红新月是啥
回复@醋酸-韭菜受体激动剂:还有就是十字东征军。。。就像把日本的旭日旗在中国挂出来一样。。。《还珠格格》赵薇刚红的时候，那时候互联网还不发达，赵薇就穿了旭日旗，被媒体一通臭骂。。如果当时网路发达，赵薇直接社死了。。
大致认为红新月和红十字是一回事就好了
十字代表基督教，在伊斯兰国家肯定不接受[笑cry]
和红十字会差不多的组织，十字架和新月，分别是基督教和伊斯兰教的标志。
伊斯兰世界的红十字会
对付敌人就不该手软，该团灭就团灭。
婴儿妇女老人都是敌人，希特勒背上纹个你
当时德国就是太仁慈了
出来混都是要还的。黑社会都知道的道理
以為是小號就能造口業？反彈！（如此沒人性）
有点感动，这种境界是在以色列要求加沙一百万多人十几个小时内撤离后，仍然坚定支持以色列的一些中国医生无法理解的吧。
祈禱！為這些勇敢的醫護與義士們祈禱平安[苦澀]🙏
如果以色列真敢向几百万人开炮，怕是美国也不敢保他了
看到有医护被炸死了…
可不，偷偷干可以，明着干谁敢保
他真的在这么做啊，美国按不住
确实，令人唏嘘，但是断电简直是对很多病人就是谋杀
医生有血性
红十字的十字架始终是带有一些十字架教的色彩，所以后来阿拉伯国家搞了红星月，不过星月也有宗教色彩，还有犹太教的红大卫盾，回头总不能再搞个红菩提红太极红意面啥的，所以统一了一个红水晶，就是一个空心的♦️，当然还是十字最为人熟知，人家掌握话语权嘛。
最后还是医务工作者先硬抗了犹太纳粹？
医务人员挺伟大的
[泪][泪][泪][泪]以色列的反人类太残暴了
风萧萧兮易水寒，壮士一去兮不复还[泪]
[赞][赞][赞][赞]
都是勇士。[作揖]
这难道不是文明世界的正常要求吗？！
支持 天职
还有无国界医生组织
要我说，种族生死战，先杀医生（打游戏就是），再杀女人（彻底剥夺种族繁衍能力），剩下的男人战士，哪怕打不赢也能耗死对方。
以色列属于第二种[doge]//@九华火羽:历史上，哪怕战争年代，冲击医院的，只有法西斯，恐怖主义，还有中国医闹……以色列，会不会是第四种？
关键什么都没有了，留下来干嘛
要让它灭亡，必先让其疯狂
面对战争，就要不惜一切代价，尽量提早结束战争。支持以色列
不容易啊
人道灾难
联合国留你有啥用啊？
红新月是啥？
🙏🙏要平安啊
[good]
[泪]
向向死而生的国际医疗人员致敬[泪]
这一次中东战争，唯一不同的是，以色列控制的传统媒体失去控制权，新型的互联网开始发声。
外网啥都看不到[微笑]人工送物资的那个根本搜都搜不到
所有人团结起来，就是不走！任它炸！以色列真的胆敢冒天下之大不韪，团灭百万人？
联合国机构已经被炸了…
不是真的敢，其实已经在做了
真的敢[泪]
轰炸医院对西方和以色列而言可是轻车熟路。
医生永远不会放弃他们的病人，这是写在希波克拉底宣言里的东西。
为这种正义之士致敬
我就看看犹大法西斯们敢不敢对红新月红十字等机构动手
以色列杀起来绝不会手软
泪目
转发微博
图片评论 http://t.cn/A6WAuZAM
无关大局事情啊！
谁是恐怖分子很明显了吧？
回复@手挥6弦a1_0ZB:你又懂小胡子呢，小胡子支持南京大屠杀知道不[偷笑]
小胡子手下留情活下来的现在干的事比小胡子还没人性
以色列是恐怖主义起家的
这个没什么用吧？就是伤亡人数多几个。
这样的民族有血性，大事可成
